DoctorID,DoctorName,DeptID,Email
1,Allison Hill,11,fbrewer@mcguire-davis.com
2,Noah Rhodes,2,kevinperkins@yahoo.com
3,Angie Henderson,1,jbarajas@yahoo.com
4,Daniel Wagner,12,qnelson@gmail.com
5,Cristian Santos,5,leslienewton@lopez.org
6,Connie Lawrence,4,wallkenneth@yahoo.com
7,Abigail Shaffer,4,alexis82@williams-brown.com
8,Gina Moore,3,agarcia@mitchell.com
9,Gabrielle Davis,12,ewilson@yahoo.com
10,Ryan Munoz,2,rayglenda@gmail.com
11,Monica Herrera,11,christopher31@duran.com
12,Jamie Arnold,12,tkerr@hotmail.com
13,Lisa Hensley,15,ashley09@hotmail.com
14,Michele Williams,9,colleenbaker@moore.net
15,Dylan Miller,2,aaronhayes@harrison.com
16,Brian Ramirez,10,mcdanielsandra@hotmail.com
17,Holly Wood,7,owilson@hernandez.com
18,Derek Zuniga,1,brooke94@martinez-barker.biz
19,Lisa Jackson,1,mkim@gmail.com
20,Carla Gray,2,cassandra01@gmail.com
21,Margaret Hawkins DDS,4,barbara27@pearson.org
22,Patty Perez,4,ecosta@yahoo.com
23,Ethan Adams,9,manuel12@yahoo.com
24,Tommy Walter,10,zroberts@hotmail.com
25,Matthew Foster,1,qmiller@wilson-barton.net
26,Judy Baker,9,mgutierrez@cox.com
27,Justin Baker,4,andrea47@washington.com
28,Stephanie Ross,12,andrea86@walker.info
29,Zachary Hicks,11,tyronemoran@thornton.info
30,Anthony Rodriguez,12,yarnold@weeks.com
31,Rebecca Henderson,9,kendra65@adams.org
32,James Ferrell,7,seanwashington@yahoo.com
33,Tricia Valencia,4,mcantu@hotmail.com
34,Nathan Maldonado,8,xhall@williams-garner.biz
35,Debra Davidson,10,tylerjohnson@hotmail.com
36,Jeffrey Chavez,5,sawyerscott@hotmail.com
37,Sherri Baker,13,bowenrobert@hotmail.com
38,Cassandra Gaines,14,harrisontanya@hanson-sanders.com
39,Elizabeth Fowler,1,ofinley@hotmail.com
40,Brittany Farmer,13,williamsonjimmy@hotmail.com
41,Paula Moreno,13,juliehamilton@gmail.com
42,Fred Smith,3,tjackson@williams.com
43,Sherry Decker,12,ryan38@yahoo.com
44,Anthony Humphrey,7,gregorylynch@harvey-allen.org
45,Angelica Tucker,6,stevenking@estrada-nolan.info
46,Philip Cannon,5,charleslandry@hotmail.com
47,John Pierce,3,dvaughn@yahoo.com
48,Shane Henderson,4,gcastaneda@james.org
49,Joshua Blair,13,andrew64@gmail.com
50,Eric Carney,6,swall@lawson.com
51,Jessica Holmes,2,erica21@lucas.org
52,Danny Morgan,2,christopherphillips@hotmail.com
53,Crystal Robinson,7,jamesbuchanan@yahoo.com
54,Mark Perez,2,jonathansummers@yahoo.com
55,Shannon Jones,6,linda71@gmail.com
56,Michael Lewis,14,zcoffey@diaz.net
57,Timothy Duncan,6,vrichardson@baker.com
58,Richard Aguirre,10,thomasharvey@murphy.info
59,Brent Jordan,5,cwilson@gmail.com
60,John Daniel,13,pwilson@hotmail.com
61,Victoria Garcia,1,qchavez@horton.com
62,Gerald Hensley,12,basschristina@yahoo.com
63,Connor West,8,jeff73@garcia-jennings.net
64,Donald Wright,9,sandersjames@gmail.com
65,Jessica Callahan,2,batesdarlene@hotmail.com
66,Amber Kidd,15,buchananjohn@buchanan.com
67,Tracy House,7,lisahall@kramer.com
68,Carol Tucker,2,vanessafernandez@gmail.com
69,James Brown,9,andersonmichael@chapman.com
70,William Baker,5,martinezrobert@gmail.com
71,Jordan Henderson,14,xwest@wheeler.org
72,Whitney Peters,11,stephen00@boone-simmons.com
73,Brittney Phillips,10,fjones@yahoo.com
74,Lauren Daniels,15,martinezclaudia@kelley.net
75,Amy Silva,14,bwagner@gmail.com
76,Sarah Moore,6,russellbeasley@morgan-chavez.biz
77,Angela Lopez,10,ronald45@mcdaniel.com
78,Megan Young,4,daviscolin@watson.net
79,Steve Sanchez,12,jenkinsmorgan@yahoo.com
80,Lisa Barnes,2,caroline51@romero.com
81,Kelly Donovan,1,danny49@gmail.com
82,Mike Allen,11,lynchdiane@hotmail.com
83,Michael Evans,4,whitejacqueline@yahoo.com
84,Paul Jones,13,adam29@hotmail.com
85,Zachary Ferrell,5,thomascynthia@gmail.com
86,Daniel Baker,2,nicholaschavez@wood.com
87,Shirley Suarez,14,moorekaren@craig.info
88,Christopher Bass,4,alawson@yahoo.com
89,Lisa Archer,14,reeddaniel@gregory.com
90,Aimee Montoya,2,djoyce@harris.com
91,Matthew Mcmillan,7,mark07@hotmail.com
92,Brian Rodriguez,5,davidpatel@gmail.com
93,Denise Jacobs,8,sandersjudy@yahoo.com
94,Christina Walters,11,umorse@patterson.com
95,John Whitehead,14,usmith@solis.info
96,Anna Henderson,6,kimdaniel@yahoo.com
97,Aaron Wise,3,fosterkyle@yahoo.com
98,Deborah Figueroa,6,kimberly18@wilson.com
99,Jessica Smith,6,joelthomas@gmail.com
100,Stephen Mckee,4,kathleenrios@bean.info
101,Sandra Aguilar,11,kmaldonado@hotmail.com
102,Cameron Parker,5,edward17@yahoo.com
103,Rebecca Valencia,12,brittany58@gmail.com
104,Christine Wright,15,dhayes@yahoo.com
105,Richard Henson,11,newmantiffany@gmail.com
106,Marc Moore,11,ycarpenter@hotmail.com
107,Sharon Cherry,2,kstout@lopez.com
108,Sierra Johnson,10,shepherdmary@hotmail.com
109,Evelyn Galvan,11,benjaminzimmerman@warren-bishop.com
110,Sharon Cochran,3,paul59@gmail.com
111,Richard Rodriguez,9,riveraangela@yahoo.com
112,Shannon Walker,12,jennifer92@yahoo.com
113,Julia Torres,4,sabrinacollins@hale.com
114,Crystal Johnson,3,vschneider@gmail.com
115,Garrett Lin,8,bromero@parker-bean.com
116,Diana May,7,jeremytaylor@gmail.com
117,William Herrera,5,romeroamber@hotmail.com
118,Ashley Waller,15,nancy92@bennett.org
119,Victor Baker,11,xwilliams@ball.info
120,Jeffrey Chandler,12,kylestokes@mckee-lee.org
121,Larry Dixon,9,xhammond@yahoo.com
122,Kenneth Scott,4,lisasolis@gmail.com
123,April Frost,11,davidsonmorgan@hotmail.com
124,Michelle Harmon,6,mitchellkathryn@cole-palmer.biz
125,Helen Jones,14,lisawilkerson@perry.net
126,Erin Edwards,13,paulmiller@gmail.com
127,Michelle Evans,13,sarah52@johnson.com
128,Jason Powell,1,fgilbert@gmail.com
129,Cameron Fisher,4,marydunn@hotmail.com
130,Megan Orr,14,parsonsjohn@gmail.com
131,Elizabeth Kelley,1,robertbauer@brown-copeland.info
132,Dustin Jordan,13,jennifercarter@mendez.org
133,Mary Marshall,6,elizabethmiller@yahoo.com
134,Daniel Kennedy,7,myerstheodore@hughes.com
135,Rebecca Jackson,5,john19@sherman.com
136,Jose Schultz,2,epollard@white.info
137,Robert Potter,4,james30@mahoney-robertson.net
138,Courtney Gonzalez,15,benjamin34@yahoo.com
139,David Alvarez,10,joshua56@paul-kline.biz
140,Angel Perry,15,tylerjimenez@hotmail.com
141,Cheyenne Horton,12,acostachristian@hotmail.com
142,David Douglas Jr.,6,manuel15@phillips.com
143,Patricia Rodriguez,4,sergio59@yahoo.com
144,Christopher Rubio,11,jonesdana@yahoo.com
145,Amber Wright,8,thomascathy@johnson-jones.com
